000000000000000000000000000 00000000000000000000 00000000000000000000 00000000000000000000 00000000000000000000000
000000000000000000000000000 00000000000000000000 00000000000000050000 00000000000000000000 00000000000000000000000
000000000000000000000000000 00000000000000000000 00000000000000000000 00000000000000000000 00000000000000000000000
000000000000000000005000000 00000000000000000000 00000000000000000000 00000000000000000000 00000000000000000000000
000000000000000000044440000 00000000000000000000 00000000000000000000 00000000000000000000 00000000000000000000000
000000000000000000000000000 00000000000000000000 00000000000000000044 00000000440000000000 00000000000000000000000
000000000000000000000000000 00000000000000000000 00000000000000000000 00000000000000000000 00000000000000000000000
000000000000000000000000000 44440000000000000000 00000000004440000000 00000000000000005000 00000000000000000000000
000000000000000000000000000 00000000000000000000 00000000000000000000 00000000000000000040 00000004000000000000000
000000000000000000004444000 00000000000000000000 00004444000000000000 00000000000000000000 00000000000000000000000
000000000000000000000000000 00000000000000000000 00000000000000000000 00000000000000000000 00000000000000000000000
111111111111111111000000000 00000000000000000111 11100000000000000000 00000000000000000000 00000000000000111111110
222222222222222222000000000 00000000000000000222 22200000000000000000 00000000000000000000 00000000000000222222220
333333333333333333000000000 00000004400000000333 33300000000000000000 00000000000000000000 00000000000000333333330
333333333333333333000000000 00000000000000000333 33300000000000000000 00000000000000000000 00000000000000333333330
