0000000000 0000000000000000000000000000000000000000000000
0000000000 0000000000000000000000000000000000000000000000
0000000000 0000000000000000000000000000000000000000000000
0000000000 0000000000000000000000000000000000000000000000
0000000000 0000050000444400000000000000000000000000000000
0000000000 0000044000000000000000000000000000000000000000
0000000000 0000000000000000000000000000000000000000000000
0000000000 0000000000600000000000000000000000000000000000
0000000000 0000000044444000000000000000000000000000000000
0000000000 0000000000000000000000000000000000000000000000
0000000000 0000000000000000000000000000000000000000000000
1111111111 1111111100000011111111111111111111111111111111
2222222222 2222222200000022222222222222222222222222222222
3333333333 3333333300000033333333333333333333333333333333
3333333333 3333333300000033333333333333333333333333333333
